"TABLE 6. Published Tuition and Fees in Current Dollars and in 2017 Dollars, 2007-08 to 2017-18 and Full-Time Fall Undergraduate Enrollment, 2007 to 2015 at Flagship Universities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Full-Time Fall Enrollment,,,,,,,,
In 2017 Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
University of Missouri: Columbia,MO,"$8,099","$8,485","$8,501","$8,501","$8,989","$9,257","$10,104","$10,298","$10,585","$10,716","$11,008",3%,19%,"$18,755","$19,558","$19,682","$20,516","$21,784","$22,440","$22,882","$24,376","$25,197","$25,998","$26,595",2%,19%,,,,,,,,,
University of Mississippi,MS,"$4,932","$5,107","$5,106","$5,439","$5,792","$6,282","$6,760","$7,096","$7,444","$7,754","$8,300",7%,32%,"$11,436","$12,468","$13,046","$13,894","$14,797","$16,266","$17,728","$19,144","$20,674","$22,022","$23,564",7%,45%,,,,,,,,,
University of Montana,MT,"$5,141","$5,150","$5,330","$5,476","$5,722","$5,985","$6,045","$6,099","$6,158","$6,215","$7,063",14%,18%,"$15,504","$16,425","$17,794","$19,172","$20,099","$21,077","$21,719","$22,372","$23,048","$23,669","$24,943",5%,18%,,,,,,,,,
University of North Carolina at Chapel Hill,NC,"$5,340","$5,397","$5,625","$6,671","$7,008","$7,693","$8,340","$8,336","$8,591","$8,566","$9,005",5%,17%,"$20,988","$22,295","$23,609","$25,286","$26,834","$28,445","$30,122","$33,428","$33,673","$33,916","$34,588",2%,22%,,,,,,,,,
University of North Dakota,ND,"$6,130","$6,513","$6,726","$6,934","$7,092","$7,254","$7,508","$7,741","$7,965","$8,137","$8,447",4%,16%,"$14,523","$15,325","$15,862","$16,373","$16,767","$17,170","$17,793","$18,409","$18,899","$19,291","$20,324",5%,18%,,,,,,,,,
University of Nebraska - Lincoln,NE,"$6,216","$6,585","$6,857","$7,224","$7,563","$7,897","$8,075","$8,070","$8,279","$8,538","$8,901",4%,13%,"$16,236","$17,205","$17,926","$18,924","$19,848","$20,647","$21,403","$22,093","$22,446","$23,058","$24,201",5%,17%,,,,,,,,,
University of New Hampshire,NH,"$11,070","$11,756","$12,743","$13,672","$15,250","$16,422","$16,496","$16,552","$16,986","$17,624","$18,067",3%,10%,"$24,030","$25,236","$26,992","$27,642","$28,570","$28,882","$29,216","$29,532","$30,256","$31,424","$32,637",4%,13%,,,,,,,,,
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$10,686","$11,540","$11,886","$12,582","$12,754","$13,073","$13,499","$13,813","$14,131","$14,372","$14,638",2%,12%,"$19,854","$21,488","$22,834","$24,044","$25,416","$26,393","$27,523","$28,591","$29,521","$30,023","$30,579",2%,16%,,,,,,,,,
University of New Mexico,NM,"$4,571","$4,834","$5,101","$5,506","$5,809","$6,049","$6,447","$6,447","$6,664","$6,950","$7,146",3%,18%,"$14,942","$15,708","$17,234","$18,691","$19,999","$20,688","$20,688","$20,652","$21,304","$21,936","$22,037",0%,7%,,,,,,,,,
University of Nevada: Reno,NV,"$4,029","$4,561","$4,901","$5,561","$6,176","$6,603","$6,603","$6,639","$6,882","$7,143","$7,538",6%,14%,"$14,839","$15,656","$17,698","$18,851","$19,771","$20,513","$20,513","$20,549","$20,792","$21,053","$21,726",3%,6%,,,,,,,,,
State University of New York at Buffalo,NY,"$6,218","$6,285","$7,013","$7,136","$7,482","$7,989","$8,426","$8,871","$9,461","$9,574","$9,828",3%,23%,"$12,478","$12,545","$15,036","$15,546","$16,932","$18,609","$20,366","$22,291","$24,541","$26,814","$27,338",2%,47%,,,,,,,,,
Ohio State University: Columbus Campus,OH,"$8,676","$8,679","$8,726","$9,420","$9,735","$10,037","$10,037","$10,037","$10,037","$10,037","$10,591",6%,6%,"$21,918","$22,298","$22,404","$23,604","$24,630","$25,445","$25,757","$26,537","$27,365","$29,229","$29,695",2%,17%,,,,,,,,,
University of Oklahoma,OK,"$6,507","$7,423","$7,483","$7,864","$8,325","$8,706","$8,915","$9,495","$10,090","$10,881","$11,538",6%,33%,"$15,621","$17,404","$17,704","$18,295","$19,278","$20,343","$21,104","$22,269","$23,476","$25,203","$26,919",7%,32%,,,,,,,,,
University of Oregon,OR,"$6,168","$6,435","$7,428","$8,190","$8,789","$9,310","$9,763","$9,918","$10,289","$10,762","$11,571",8%,24%,"$19,332","$19,992","$23,730","$25,830","$27,653","$28,660","$29,788","$30,888","$32,024","$33,442","$34,611",3%,21%,,,,,,,,,
Penn State University Park,PA,"$13,639","$13,706","$14,416","$15,250","$15,984","$16,444","$16,992","$17,502","$17,514","$17,900","$18,436",3%,12%,"$23,712","$24,940","$25,972","$27,114","$28,066","$28,746","$29,566","$30,452","$31,346","$32,382","$33,664",4%,17%,,,,,,,,,
University of Rhode Island,RI,"$8,184","$8,678","$9,528","$10,476","$11,366","$12,450","$12,450","$12,506","$12,862","$12,884","$13,792",7%,11%,"$23,038","$24,776","$26,198","$27,182","$27,454","$28,016","$28,016","$28,072","$28,852","$28,874","$30,042",4%,7%,,,,,,,,,
University of South Carolina,SC,"$8,346","$8,838","$9,156","$9,786","$10,168","$10,488","$10,816","$11,158","$11,482","$11,854","$12,262",3%,17%,"$21,632","$22,908","$23,732","$25,362","$26,352","$27,644","$28,528","$29,440","$30,298","$31,282","$32,362",3%,17%,,,,,,,,,
University of South Dakota,SD,"$5,393","$5,828","$6,468","$6,762","$7,209","$7,704","$8,022","$8,022","$8,457","$8,457","$8,772",4%,14%,"$6,631","$7,148","$7,892","$8,259","$8,924","$9,650","$10,104","$10,104","$11,337","$11,688","$12,020",3%,25%,,,,,,,,,
University of Tennessee: Knoxville,TN,"$5,932","$6,250","$6,855","$7,382","$8,396","$9,092","$11,194","$11,876","$12,436","$12,724","$12,970",2%,43%,"$17,874","$18,908","$20,646","$22,420","$25,238","$27,282","$29,384","$30,066","$30,626","$30,914","$31,160",1%,14%,,,,,,,,,
University of Texas at Austin,TX,"$7,670","$8,532","$8,930","$9,416","$9,792","$9,790","$9,790","$9,798","$9,830","$10,110","$10,414",3%,6%,"$24,544","$27,760","$30,006","$31,266","$32,379","$33,060","$33,824","$34,722","$34,836","$35,906","$36,984",3%,12%,,,,,,,,,
University of Utah,UT,"$4,987","$5,285","$5,746","$6,274","$6,763","$7,139","$7,457","$7,935","$8,197","$8,518","$8,824",4%,24%,"$15,662","$16,601","$18,193","$19,841","$21,389","$22,642","$23,736","$25,267","$26,022","$27,039","$28,067",4%,24%,,,,,,,,,
University of Virginia,VA,"$8,500","$9,505","$9,672","$10,628","$11,576","$12,006","$12,458","$12,998","$14,468","$15,714","$16,076",2%,34%,"$27,515","$29,798","$31,326","$32,902","$35,898","$37,336","$39,844","$42,184","$43,082","$45,058","$46,604",3%,25%,,,,,,,,,
University of Vermont,VT,"$12,054","$12,844","$13,554","$14,066","$14,784","$15,284","$15,718","$16,196","$16,738","$17,300","$17,740",3%,16%,"$27,938","$29,682","$31,454","$32,630","$34,424","$35,612","$36,646","$37,844","$39,130","$40,364","$41,356",2%,16%,,,,,,,,,
University of Washington,WA,"$6,385","$6,907","$7,964","$8,973","$10,826","$12,383","$12,397","$12,394","$11,839","$10,753","$10,974",2%,-11%,"$22,131","$23,324","$24,639","$25,601","$28,310","$31,016","$31,971","$33,513","$34,143","$34,791","$35,538",2%,15%,,,,,,,,,
University of Wisconsin-Madison,WI,"$7,188","$7,568","$8,310","$8,983","$9,671","$10,384","$10,403","$10,410","$10,415","$10,488","$10,533",0%,1%,"$21,438","$21,818","$23,095","$24,233","$25,421","$26,634","$26,653","$26,660","$29,665","$32,738","$34,783",6%,31%,,,,,,,,,
West Virginia University,WV,"$4,722","$5,100","$5,304","$5,406","$5,674","$6,090","$6,456","$6,960","$7,632","$7,992","$8,376",5%,38%,"$14,600","$15,770","$16,402","$17,002","$17,844","$18,868","$19,632","$20,424","$21,432","$22,488","$23,616",5%,25%,,,,,,,,,
University of Wyoming,WY,"$3,554","$3,621","$3,726","$3,927","$4,125","$4,278","$4,404","$4,646","$4,891","$5,055","$5,217",3%,22%,"$10,394","$11,031","$11,697","$12,237","$12,855","$13,428","$14,124","$14,876","$15,631","$16,215","$16,827",4%,25%,,,,,,,,,
"SOURCE: The College Board, Annual Survey of Colleges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table was prepared in October 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
