"TABLE 6. Published Tuition and Fees in Current Dollars and in 2017 Dollars, 2007-08 to 2017-18 and Full-Time Fall Undergraduate Enrollment, 2007 to 2015 at Flagship Universities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Full-Time Fall Enrollment,,,,,,,,
In 2017 Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
University of Kentucky,KY,"$8,339","$8,609","$9,233","$9,667","$9,890","$10,338","$10,443","$10,751","$11,217","$11,515","$11,772",2%,14%,"$17,505","$17,676","$19,009","$19,849","$20,305","$21,224","$22,060","$23,358","$24,892","$26,606","$27,856",5%,31%,"16,712","17,267","17,549","18,216","18,383","19,109","19,802","20,513","20,513"
Louisiana State University and Agricultural and Mechanical College,LA,"$5,339","$5,660","$5,948","$6,472","$6,885","$7,482","$8,257","$8,990","$10,095","$11,000","$11,374",3%,52%,"$15,093","$15,357","$16,385","$18,581","$20,979","$23,804","$27,034","$27,193","$27,699","$27,964","$28,051",0%,18%,"21,698","21,767","21,376","21,999","22,122","22,567","22,707","23,075","23,450"
University of Massachusetts Amherst,MA,"$11,662","$11,593","$13,546","$13,381","$13,866","$14,136","$14,058","$13,812","$14,725","$15,417","$15,596",1%,10%,"$24,090","$24,387","$26,614","$26,738","$27,721","$28,469","$28,115","$28,575","$31,478","$32,946","$33,662",2%,18%,"18,523","18,864","19,201","19,694","20,109","20,177","20,384","20,551","20,962"
University of Maryland: College Park,MD,"$9,365","$8,908","$9,154","$9,450","$9,378","$9,518","$9,600","$9,686","$10,253","$10,357","$10,399",0%,9%,"$26,098","$25,680","$27,458","$27,881","$28,199","$29,155","$29,705","$30,535","$31,944","$32,596","$33,606",3%,15%,"23,685","24,296","24,520","24,749","24,590","24,364","24,400","24,908","25,272"
University of Maine,ME,"$9,789","$10,127","$10,942","$11,388","$11,472","$11,319","$11,108","$10,897","$10,883","$10,811","$10,902",1%,-4%,"$24,138","$25,050","$27,249","$28,263","$28,505","$29,333","$29,310","$29,267","$29,622","$30,005","$30,282",1%,3%,"7,820","8,042","7,956","7,707","7,493","7,477","7,874","7,986","8,001"
University of Michigan,MI,"$12,277","$12,282","$13,467","$13,291","$13,689","$13,883","$13,772","$13,856","$14,212","$14,650","$14,826",1%,7%,"$36,784","$36,801","$39,712","$40,422","$40,937","$41,800","$42,327","$43,056","$44,593","$46,191","$47,476",3%,14%,"25,108","25,102","25,261","26,096","26,460","26,954","27,228","27,297","27,161"
University of Minnesota: Twin Cities,MN,"$11,617","$11,834","$12,830","$13,702","$14,109","$14,380","$14,270","$14,000","$14,144","$14,385","$14,417",0%,0%,"$25,284","$16,285","$17,652","$18,530","$19,527","$19,990","$20,820","$21,449","$22,781","$24,215","$26,603",10%,33%,"26,263","26,146","27,636","28,211","28,227","28,063","27,866","27,943","28,206"
University of Missouri: Columbia,MO,"$9,518","$9,442","$9,663","$9,545","$9,740","$9,891","$10,588","$10,581","$10,857","$10,900","$11,008",1%,11%,"$22,040","$21,765","$22,372","$23,036","$23,603","$23,976","$23,978","$25,045","$25,844","$26,445","$26,595",1%,11%,"20,252","21,560","22,325","23,369","24,298","25,046","25,168","25,753","25,909"
University of Mississippi,MS,"$5,796","$5,683","$5,804","$6,107","$6,276","$6,712","$7,084","$7,291","$7,635","$7,887","$8,300",5%,24%,"$13,439","$13,875","$14,829","$15,600","$16,033","$17,379","$18,577","$19,669","$21,205","$22,401","$23,564",5%,36%,"11,484","11,444","11,972","12,971","14,071","14,691","15,411","16,418","17,120"
University of Montana,MT,"$6,042","$5,731","$6,059","$6,149","$6,200","$6,395","$6,335","$6,266","$6,316","$6,322","$7,063",12%,10%,"$18,220","$18,278","$20,226","$21,527","$21,777","$22,520","$22,759","$22,986","$23,640","$24,076","$24,943",4%,11%,"9,857","10,061","10,445","10,965","10,637","9,855","9,446","9,166","8,600"
University of North Carolina at Chapel Hill,NC,"$6,275","$6,006","$6,394","$7,490","$7,593","$8,220","$8,740","$8,565","$8,812","$8,713","$9,005",3%,10%,"$24,664","$24,811","$26,836","$28,391","$29,075","$30,392","$31,565","$34,345","$34,538","$34,499","$34,588",0%,14%,"16,721","17,043","17,267","17,457","17,386","17,506","17,519","17,526","17,606"
University of North Dakota,ND,"$7,204","$7,248","$7,645","$7,786","$7,684","$7,751","$7,868","$7,953","$8,170","$8,277","$8,447",2%,9%,"$17,067","$17,054","$18,030","$18,384","$18,167","$18,345","$18,645","$18,914","$19,385","$19,623","$20,324",4%,11%,"8,798","8,741","8,739","9,232","9,334","9,655","9,385","9,039","9,061"
University of Nebraska - Lincoln,NE,"$7,305","$7,328","$7,794","$8,111","$8,194","$8,438","$8,462","$8,291","$8,492","$8,685","$8,901",2%,5%,"$19,080","$19,147","$20,376","$21,248","$21,505","$22,060","$22,428","$22,699","$23,023","$23,455","$24,201",3%,10%,"16,757","17,283","17,737","18,129","18,039","17,766","18,102","18,660","18,817"
University of New Hampshire,NH,"$13,009","$13,083","$14,485","$15,351","$16,523","$17,546","$17,286","$17,006","$17,422","$17,927","$18,067",1%,3%,"$28,239","$28,084","$30,681","$31,037","$30,956","$30,859","$30,616","$30,342","$31,033","$31,964","$32,637",2%,6%,"11,364","11,588","11,958","11,895","12,061","12,282","11,993","12,304","12,585"
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,"$12,558","$12,842","$13,511","$14,127","$13,819","$13,968","$14,146","$14,192","$14,494","$14,619","$14,638",0%,5%,"$23,332","$23,913","$25,955","$26,997","$27,538","$28,200","$28,841","$29,375","$30,280","$30,539","$30,579",0%,8%,"24,810","26,382","27,537","28,829","29,662","29,928","31,630","32,272","33,294"
University of New Mexico,NM,"$5,372","$5,379","$5,798","$6,182","$6,294","$6,463","$6,756","$6,624","$6,835","$7,070","$7,146",1%,11%,"$17,559","$17,481","$19,590","$20,987","$21,669","$22,104","$21,679","$21,219","$21,851","$22,313","$22,037",-1%,0%,"14,088","14,855","15,845","15,973","16,060","16,130","16,979","16,121","15,851"
University of Nevada: Reno,NV,"$4,735","$5,076","$5,571","$6,244","$6,692","$7,055","$6,919","$6,821","$7,059","$7,266","$7,538",4%,7%,"$17,438","$17,423","$20,117","$21,166","$21,422","$21,917","$21,496","$21,113","$21,326","$21,415","$21,726",1%,-1%,"10,331","10,528","10,637","11,429","11,980","12,399","12,919","13,856","14,844"
State University of New York at Buffalo,NY,"$7,307","$6,994","$7,972","$8,012","$8,107","$8,536","$8,830","$9,114","$9,704","$9,739","$9,828",1%,15%,"$14,664","$13,961","$17,091","$17,455","$18,346","$19,883","$21,342","$22,903","$25,172","$27,275","$27,338",0%,37%,"17,417","17,686","17,917","17,913","17,507","17,604","17,793","17,990","18,336"
Ohio State University: Columbus Campus,OH,"$10,196","$9,658","$9,919","$10,577","$10,548","$10,724","$10,518","$10,312","$10,295","$10,210","$10,591",4%,-1%,"$25,757","$24,814","$25,466","$26,503","$26,687","$27,187","$26,991","$27,265","$28,068","$29,732","$29,695",0%,9%,"35,462","36,333","37,629","38,300","39,053","38,708","39,877","40,452","40,898"
